,A00,B00,C00,D00
Q1: What will be printed by the above code snippet?,0.0,0.0,0.0,0.0
Q2: What will be printed by the code snippet above?,0.4117647058823529,0.5647058823529412,0.5061728395061729,0.5540540540540541
"Q3: The above function tries to find the minimum value in a list of numbers. The function does not work as expected. Write what is the issue with this function and how will you fix it. Also, write one test case that may crash this program.",0.0,0.0,0.0,0.0
Q4: Which among the following statements are true about the code snippet above? Choose ALL that apply.,0.0,0.0,0.0,0.0
Q5: Write a function that takes in a 2d list of integers and returns a 1d list of just the positive numbers.,0.0,0.0,0.0,0.0
Q6: What will happen when we run the code above?,0.7125,0.7088607594936709,0.7083333333333334,0.7101449275362319
Q7:What will be printed?,0.7468354430379747,0.8157894736842105,0.875,0.7323943661971831
Q8: Explain in 2 - 3 sentences the purpose of the function above.,0.0,0.0,0.0,0.0
Q9: Fill in the missing code to complete the function that creates and returns a copy an image.,0.0,0.0,0.0,0.0
Q10: Write a function that converts a dictionary as shown above.,0.0,0.0,0.0,0.0
Q11: What will be printed?,0.0,0.0,0.0,0.0
