,A00,B00,C00,D00
Review,0.3671875,0.3684210526315789,0.5384615384615384,0.5054945054945055
1,0.423728813559322,0.3698630136986301,0.6483516483516484,0.5111111111111111
2,0.5263157894736842,0.43661971830985913,0.6206896551724138,0.5
3,0.7747747747747747,0.7101449275362319,0.7441860465116279,0.631578947368421
4,0.7358490566037735,0.676056338028169,0.6756756756756757,0.5571428571428572
5,0.5428571428571428,0.5263157894736842,0.7,0.5
6,0.5625,0.5882352941176471,0.7142857142857143,0.5714285714285714
7,0.36363636363636365,0.3333333333333333,0.2413793103448276,0.3157894736842105
8,0.43333333333333335,0.42857142857142855,0.5185185185185185,0.45454545454545453
9,0.15625,0.4666666666666667,0.23076923076923078,0.45454545454545453
